AN,Quantity,Designator,Comment,Description,Case,Value,Footprint,Revision,Variant,Trenz-Stock,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage,H-ART,Temperature-Range,Storage-Temperature

"31479","12","C1, C12, C19, C22, C28, C30, C34, C61, C62, C64, C69, C70","4.7uF","KON 4.7uF 6.3V X5R 20% SMD BF 0603 (0201)","0603 (0201)","4.7u","CAPC0603X33N_V","01","MDE-2-A","","SMT","","X5R","20%","","6.3V","","-55/+85",""
"24921","21","C2, C3, C5, C6, C8, C9, C11, C14, C17, C18, C20, C26, C58, C63, C71, C73, C74, C101, C106, C107, C108","470nF","KON 470nF 6.3V X5R 20%  SMD BF 0603 (0201)","0603 (0201)","470n","CAPC0603X33N_V","01","MDE-2-A","","SMT","Yes","X5R","20%","","6.3V","","-55/+85",""
"32520","6","C4, C77, C83, C89, C95, C102","100nF","KON 100nF 25V X5R ±10% SMD BF 0603 (0201)","0603 (0201)","100n","CAPC0603X33N_V","01","MDE-2-A","","SMT","Yes","X5R","10%","","25V","","",""
"23123","1","C7","100pF","KON 100pF 50V NP0 5% SMD BF 1005 (0402)","1005 (0402)","100p","CAPC1005X55N_V","01","MDE-2-A","","SMT","Yes","NP0","","","50V","","",""
"23753","1","C10","39pF","KON 39pF 50V NP0 5% SMD BF 1005 (0402)","1005 (0402)","39p","CAPC1005X55N_V","01","MDE-2-A","","SMT","","NP0","5%","","50V","","",""
"31370","20","C13, C16, C21, C25, C29, C33, C35, C36, C37, C38, C45, C51, C54, C55, C59, C65, C66, C67, C68, C72","1uF","KON 1uF 4V X6S 20% SMD BF 0603 (0201)","0603 (0201)","1u","CAPC0603X33N_V","01","MDE-2-A","","SMT","","X6S","20%","","4V","","-55/+105",""
"28311","14","C15, C23, C24, C27, C52, C53, C56, C57, C60, C78, C84, C90, C96, C103","47µF","KON 47µF 6,3V X5R ±20%  SMD BF 1608 (0603)","1608 (0603)","47u","CAPC1608X90N_V","01","MDE-2-A","","SMT","","X5R","20%","","6.3V","","-55/+85",""
"30683","12","C31, C32, C39, C40, C41, C42, C43, C44, C46, C47, C48, C49","10µF","KON 10µF 10V X5R 20% SMD BF 1005 (0402)","1005 (0402)","10u","CAPC1005X55N_V","01","MDE-2-A","","SMT","","X5R","20%","","10V","","-55/+85",""
"30983","10","C75, C80, C81, C86, C87, C92, C93, C98, C99, C105","2.2µF","KON 2,2µF 25V X5R 10% SMD BF 1005 (0402)","1005 (0402)","2.2u","CAPC1005X55N_V","01","MDE-2-A","","SMT","","X5R","10%","","25V","","-55/+85",""
"30929","5","C76, C82, C88, C94, C100","22µF","KON 22µF 10V X5R 20% SMD BF 1608 (0603)","1608 (0603)","22u","CAPC1608X90N_V","01","MDE-2-A","","SMT","","X5R","20%","","10V","","-55/+85",""
