AN,Quantity,Designator,Comment,Description,Case,Value,Footprint,Revision,Variant,Trenz-Stock,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage,H-ART

"34948","2","C1, C9","10µF","KON 10µF 16V X6S 20% SMD BF 1608 (0603)","1608 (0603)","10u","CAPC1608X90N_V","01","P001","","SMT","Yes","X6S","20%","","16V",""
"31290","2","C2, C162","2.7nF","KON 2.7nF 50V NP0 ±2% SMD BF 1005 (0402)","1005 (0402)","2.7n","CAPC1005X55N_V","01","P001","","SMT","","NP0","±2%","","50V",""
"30929","45","C3, C11, C13, C16, C18, C25, C26, C27, C29, C30, C37, C56, C57, C59, C65, C72, C73, C78, C82, C84, C115, C117, C147, C148, C150, C160, C161, C164, C167, C168, C169, C170, C171, C172, C173, C174, C175, C176, C177, C178, C211, C222, C237, C241, C242","22µF","KON 22µF 10V X5R 20% SMD BF 1608 (0603)","1608 (0603)","22u","CAPC1608X90N_V","01","P001","","SMT","","X5R","20%","","10V",""
"32153","73","C4, C10, C20, C31, C32, C33, C40, C41, C42, C44, C45, C46, C47, C62, C87, C94, C97, C98, C99, C101, C102, C108, C114, C118, C119, C120, C122, C128, C132, C141, C142, C146, C149, C151, C152, C153, C154, C155, C156, C157, C158, C163, C165, C166, C179, C182, C192, C195, C196, C197, C198, C199, C208, C209, C210, C225, C227, C230, C234, C235, C236, C238, C246, C247, C257, C440, C458, C459, C460, C461, C462, C463, C488","470nF","KON 470nF 6.3V X6S 20% SMD BF 0603 (0201)","0603 (0201)","470n","CAPC0603X33N_V","01","P001","","SMT","Yes","X6S","20%","","6.3V",""
"28311","19","C5, C124, C125, C126, C382, C383, C384, C385, C386, C387, C441, C442, C443, C444, C445, C446, C622, C623, C625","47µF","KON 47µF 6,3V X5R ±20%  SMD BF 1608 (0603)","1608 (0603)","47u","CAPC1608X90N_V","01","P001","","SMT","","X5R","20%","","6.3V",""
"32520","38","C6, C21, C22, C28, C38, C54, C88, C89, C90, C91, C123, C129, C134, C159, C202, C204, C205, C206, C212, C213, C214, C215, C216, C217, C219, C220, C221, C231, C232, C233, C248, C256, C291, C292, C457, C566, C598, C599","100nF","KON 100nF 25V X5R ±10% SMD BF 0603 (0201)","0603 (0201)","100n","CAPC0603X33N_V","01","P001","","SMT","Yes","X5R","10%","","25V",""
"30983","32","C7, C8, C12, C15, C36, C64, C75, C76, C77, C80, C81, C83, C92, C95, C96, C136, C137, C144, C145, C239, C259, C260, C592, C593, C594, C595, C632, C633, C634, C635, C636, C637","2.2µF","KON 2,2µF 25V X5R 10% SMD BF 1005 (0402)","1005 (0402)","2.2u","CAPC1005X55N_V","01","P001","","SMT","","X5R","10%","","25V",""
"24705","13","C14, C17, C61, C71, C103, C106, C107, C109, C110, C111, C131, C180, C181","10nF","KON 10nF 50V X7R 10% SMD BF 1005 (0402)","1005 (0402)","10n","CAPC1005X55N_V","01","P001","","SMT","Yes","X7R","10%","","50V",""
"22679","3","C19, C24, C93","100pF","KON 100pF 1000V X7R 10%  BF 3216 (1206)","3216 (1206)","100p","CAPC3216X180N_V","01","P001","","SMT","Yes","X7R","10%","","1000V",""
"30954","45","C23, C39, C60, C63, C79, C85, C86, C104, C105, C112, C116, C121, C127, C130, C133, C135, C138, C191, C193, C194, C200, C207, C362, C363, C364, C365, C366, C367, C447, C448, C449, C450, C451, C452, C468, C477, C502, C507, C512, C513, C514, C515, C516, C517, C518","10µF","KON 10µF 6.3V X5R 20% SMD BF 1005 (0402)","1005 (0402)","10u","CAPC1005X55N_V","01","P001","","SMT","","X5R","20%","","6.3V",""
"31479","25","C34, C43, C55, C100, C201, C203, C218, C223, C224, C226, C229, C240, C469, C470, C475, C476, C503, C505, C506, C510, C511, C527, C528, C529, C530","4.7uF","KON 4.7uF 6.3V X5R 20% SMD BF 0603 (0201)","0603 (0201)","4.7u","CAPC0603X33N_V","01","P001","","SMT","","X5R","20%","","6.3V",""
"22597","5","C35, C58, C67, C74, C243","10pF","KON 10pF 50V NP0 5% SMD BF 1005 (0402)","1005 (0402)","10p","CAPC1005X55N_V","01","P001","","SMT","Yes","NP0","5%","","50V",""
"31370","38","C48, C49, C50, C51, C52, C53, C66, C68, C69, C70, C113, C139, C140, C228, C244, C245, C454, C456, C485, C501, C504, C508, C509, C519, C520, C531, C532, C539, C540, C545, C546, C547, C548, C557, C558, C559, C560, C561","1uF","KON 1uF 4V X6S 20% SMD BF 0603 (0201)","0603 (0201)","1u","CAPC0603X33N_V","01","P001","","SMT","","X6S","20%","","4V",""
