AN,Quantity,Designator,Name,Description,Case,Value,Footprint,Revision,Variant,Trenz-Stock,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage,H-ART
,,,,,,,,,,,,,,,,,
32153,123,"C1, C2, C5, C6, C9, C10, C17, C18, C22, C23, C31, C32, C33, C39, C44, C45, C46, C47, C48, C49, C50, C51, C57, C58, C59, C60, C65, C66, C67, C71, C72, C73, C78, C79, C80, C81, C82, C83, C84, C93, C94, C95, C110, C111, C117, C118, C120, C122, C132, C133, C134, C135, C136, C137, C138, C146, C162, C165, C166, C167, C179, C210, C212, C284, C296, C297, C302, C303, C304, C310, C311, C312, C329, C330, C331, C332, C333, C334, C335, C337, C342, C343, C344, C345, C346, C348, C350, C351, C353, C355, C360, C361, C380, C381, C395, C397, C398, C407, C421, C437, C438, C439, C440, C458, C459, C460, C461, C463, C486, C487, C488, C576, C577, C578, C642, C647, C659, C662, C665, C705, C706, C708, C709",470nF,KON 470nF 6.3V X6S 20% SMD BF 0603 (0201),0603 (0201),470n,CAPC0603X33N_V,"04, 01",G1E13-A,,SMT,Yes,X6S,20%,,6.3V,
30683,93,"C3, C14, C20, C21, C25, C37, C56, C77, C91, C92, C99, C127, C163, C168, C170, C211, C239, C294, C300, C308, C362, C363, C364, C365, C366, C367, C374, C375, C392, C408, C409, C414, C415, C447, C448, C449, C450, C451, C452, C464, C465, C468, C471, C472, C477, C478, C479, C484, C490, C491, C496, C497, C498, C502, C507, C512, C513, C514, C515, C516, C517, C518, C521, C522, C526, C533, C534, C538, C541, C542, C553, C554, C562, C563, C564, C565, C569, C570, C573, C574, C575, C641, C643, C653, C654, C658, C661, C664, C678, C684, C685, C686, C687",10µF,KON 10µF 10V X5R 20% SMD BF 1005 (0402),1005 (0402),10u,CAPC1005X55N_V,4,G1E13-A,,SMT,,X5R,20%,,10V,
31479,48,"C4, C16, C29, C30, C35, C36, C42, C43, C123, C140, C173, C223, C224, C240, C251, C286, C295, C301, C309, C328, C336, C357, C359, C469, C470, C475, C476, C482, C483, C494, C495, C503, C505, C506, C510, C511, C524, C525, C527, C528, C529, C530, C536, C537, C619, C626, C631, C638",4.7uF,KON 4.7uF 6.3V X5R 20% SMD BF 0603 (0201),0603 (0201),4.7u,CAPC0603X33N_V,4,G1E13-A,,SMT,,X5R,20%,,6.3V,
26312,34,"C7, C8, C11, C12, C13, C28, C34, C38, C63, C64, C69, C70, C75, C76, C89, C90, C97, C98, C149, C177, C338, C339, C340, C341, C393, C580, C581, C582, C583, C584, C585, C586, C587, C588",10nF,KON 10nF 10V X7R 10% SMD BF 0603 (0201),0603 (0201),10n,CAPC0603X33N_V,4,G1E13-A,,SMT,Yes,X7R,10%,,10V,
22679,4,"C15, C19, C176, C704",100pF,KON 100pF 1000V X7R 10%  BF 3216 (1206),3216 (1206),100p,CAPC3216X180N_V,4,G1E13-A,,SMT,Yes,X7R,10%,,1000V,
31370,29,"C24, C115, C228, C454, C456, C462, C485, C501, C504, C508, C509, C519, C520, C523, C531, C532, C535, C539, C540, C545, C546, C547, C548, C557, C558, C559, C560, C561, C624",1uF,KON 1uF 4V X6S 20% SMD BF 0603 (0201),0603 (0201),1u,CAPC0603X33N_V,4,G1E13-A,,SMT,,X6S,20%,,4V,
26515,14,"C26, C27, C112, C113, C298, C299, C305, C306, C307, C313, C314, C315, C390, C391",47µF,KON 47µF 10V  X5R 20% SMD BF 2012 (0805),2012 (0805),47u,CAPC2012X135N_V,4,G1E13-A,,SMT,,X5R,,,10V,
34939,92,"C40, C41, C52, C53, C54, C55, C61, C62, C68, C74, C85, C86, C87, C88, C96, C114, C116, C119, C121, C139, C141, C142, C143, C144, C145, C147, C148, C151, C152, C169, C171, C172, C178, C213, C214, C215, C216, C217, C218, C219, C220, C230, C243, C249, C268, C276, C287, C291, C292, C318, C319, C320, C321, C322, C323, C324, C325, C326, C327, C388, C389, C394, C396, C399, C413, C420, C431, C455, C457, C566, C571, C572, C579, C589, C590, C591, C596, C597, C598, C599, C600, C601, C602, C603, C604, C605, C633, C645, C646, C651, C666, C671",100nF,KON 100nF 25V X6S ±10% SMD BF 0603 (0201),0603 (0201),100n,CAPC0603X33N_V,4,G1E13-A,,SMT,,X6S,10%,,25V,
22768,24,"C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C466, C467, C608, C609, C610, C611, C612, C613, C614, C615, C620, C621, C655, C656",220nF,KON 220nF 16V X7R 10% SMD BF 1005 (0402),1005 (0402),220n,CAPC1005X55N_V,4,G1E13-A,,SMT,,X7R,10%,,16V,
28311,56,"C124, C125, C126, C221, C238, C244, C245, C269, C270, C277, C278, C288, C289, C382, C383, C384, C385, C386, C387, C400, C401, C416, C417, C422, C423, C432, C433, C441, C442, C443, C444, C445, C446, C473, C474, C480, C481, C492, C493, C499, C500, C543, C544, C552, C555, C556, C607, C622, C623, C625, C650, C657, C660, C663, C682, C683",47µF,"KON 47µF 6,3V X5R ±20%  SMD BF 1608 (0603)",1608 (0603),47u,CAPC1608X90N_V,4,G1E13-A,,SMT,,X5R,20%,,6.3V,
22471,5,"C128, C199, C203, C209, C695",1nF,KON 1nF 50V X7R SMD  BF 1005 (0402),1005 (0402),1n,CAPC1005X55N_V,4,G1E13-A,,SMT,Yes,X7R,10%,,50V,
35048,65,"C129, C150, C153, C154, C156, C158, C159, C160, C161, C164, C195, C196, C198, C200, C202, C205, C206, C208, C225, C226, C227, C232, C233, C235, C236, C237, C241, C242, C248, C266, C267, C274, C275, C283, C285, C290, C293, C347, C349, C352, C354, C356, C358, C411, C412, C418, C419, C429, C430, C489, C549, C627, C628, C629, C630, C648, C673, C676, C677, C691, C694, C697, C698, C699, C702",22µF,KON 22µF 25V X6S 20% SMD BF 2012 (0805),2012 (0805),22u,CAPC2012X135N_V,4,G1E13-A,,SMT,,X6S,20%,,25V,
28562,5,"C130, C222, C617, C618, C668",100pF,KON 100pF 50V NP0 1% SMD BF 1005 (0402),1005 (0402),100p,CAPC1005X55N_V,4,G1E13-A,,SMT,,NP0,1%,,50V,
28561,2,"C131, C644",68pF,KON 68pF 50V NP0 1% SMD BF 1005 (0402),1005 (0402),68p,CAPC1005X55N_V,4,G1E13-A,,SMT,,NP0,1%,,50V,
24705,3,"C155, C157, C317",10nF,KON 10nF 50V X7R 10% SMD BF 1005 (0402),1005 (0402),10n,CAPC1005X55N_V,4,G1E13-A,,SMT,Yes,X7R,10%,,50V,
30983,50,"C174, C175, C188, C189, C190, C197, C207, C229, C231, C234, C247, C257, C258, C259, C260, C261, C265, C272, C273, C280, C281, C282, C316, C404, C405, C406, C410, C426, C427, C428, C434, C436, C453, C550, C551, C592, C593, C594, C595, C632, C634, C635, C636, C637, C639, C640, C649, C675, C696, C707",2.2µF,"KON 2,2µF 25V X5R 10% SMD BF 1005 (0402)",1005 (0402),2.2u,CAPC1005X55N_V,4,G1E13-A,,SMT,,X5R,10%,,25V,
