AN,Quantity,Designator,Comment,Description,Case,Value,Footprint,Revision,Variant,Trenz-Stock,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage,H-ART

"22461","1","J25","Pin Header 2.54 2Row 20Pins","Stiftleiste gerade 2-reihig, 20pol","","","STIFTLEISTE2_54 OG 2R-20","03","P001","Yes","THT","","","","","","944-12-020-00 "
"22741","1","J34","SMD-254-9132-14-10","Stiftleiste gerade 2-reihig, 10pol. SMD","","","SMD-254-9132-14-10","03","P001","Yes","SMT","","","","","","9132-14-10-00-0-ST"
"23162","3","J8, J9, J10","Pin Header 2.54 1Row 4Pins","Stiftleiste gerade 1-reihig 4-polig","","","STIFTLEISTE2_54 OG 1R-4","03","P001","Yes","THT","","","","","","943-12-004-00"
"24680","1","J27","PCIe 6 Pin","Mini-Fit JR Header PCIe 6 Pin Header 90°","","","45558-0003","03","P001","Yes","THT","","","","","","45558-0003"
"24840","5","U7, U9, U25, U36, U39","PRTR5V0U2X,215","PRTR5V0U2X,215","SOT143","","SOT190P229X114-4N","03","P001","","SMT","Yes","","","","2/6V","PRTR5V0U2X,215"
"24904","1","U14","TXS02612RTWR","TXS02612RTWR","QFN24","","QFN50P400X400X80-25N-255","03","P001","Yes","SMT","","","","","","TXS02612RTWR"
"24942","1","J13","Stiftleiste 4 Pol. 2,54mm","Molex 47053-1000 KK 254 Vertical Header","","","47053-1000","03","P001","Yes","THT","","","","","","47053-1000"
"24992","1","U8","USB3320C-EZK","USB3320C-EZK","QFN32","","QFN50P500X500X100-33N-345","03","P001","Yes","SMT","","","","","","USB3320C-EZK"
"25111","1","U23","ADV7511KSTZ-P","ADV7511KSTZ-P","LQFP100","","QFP50P1600X1600X160-100N","03","P001","Yes","SMT","","","","","","ADV7511KSTZ-P"
"25112","1","U24","TPD12S016PWR","TPD12S016PWR","TSSOP24","","SOP65P640X120-24N","03","P001","Yes","SMT","","","","","","TPD12S016PWR"
"25562","3","U31, U42, U45","TCA9517DGK","TCA9517DGKR","MSOP8","","SOP65P490X110-8N","03","P001","Yes","SMT","","","","","","TCA9517DGKR"
"25923","2","U17, U18","LTC4365ITS8#TRMPBF","LTC4365ITS8#TRMPBF","TS8","","TSOT-23-8","03","P001","Yes","SMT","","","","","","LTC4365ITS8#TRMPBF"
"26249","2","U3, U6","24AA025E48T-I/OT","24AA025E48T-I/OT","SOT23-6","","SOT95P280X145-6N","03","P001","","SMT","","","","","","24AA025E48T-I/OT"
"26289","37","TP1, TP2, TP3, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP19, TP21, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP31, TP32, TP33, TP34, TP35, TP36, TP37, TP38, TP39, TP40, TP41, TP42, TP43, TP46","Testpoint 0.8mm","Testpoint 0.8mm","","","TP_0.8mm","03","P001","","MECH","","","","","",""
"26322","1","J24","microSD Memory Card Connector with Detec","microSD Memory Card Connector with Detect Switch","microSD","","104031-0811","03","P001","Yes","SMT","","","","","","104031-0811"
"26352","6","MECH1, MECH8, MECH9, MECH10, MECH11, MECH12","Screw M2x6","Schraube M2 6 mm","","","","03","P001","","MECH","","","","","","01.17.122"
"26772","1","T5","BSS138LT1G","BSS138LT1G","SOT23-3","","SOT95P230X109-3N","03","P001","Yes","SMT","Yes","","","","","BSS138LT1G"
"27003","1","U57","TCA9544APWR","TCA9544APWR","TSSOP20","","SOP65P640X120-20N","03","P001","Yes","SMT","","","","","","TCA9544APWR"
"27037","6","PM1, PM2, PM3, PM4, PM5, PM6","FIDU-DOT - mini","FIDU-DOT - MINI 0.5mm","","","FIDU-DOT - mini","03","P001","","FIDU","Yes","","","","",""
"27341","1","J3","ASP-184329-01, CC-HPC+-10","ASP-184329-01","","","ASP-184329-01","03","P001","","SMT","","","","","","ASP-184329-01"
"27433","1","U11","24AA128T-I/ST","24AA128T-I/ST","TSSOP8","","SOP65P640X120-8N-MC","03","P001","","SMT","","","","","","24AA128T-I/ST"
"27449","1","S13","204-214ST","204-214ST","","","SOIC254P1040X950-16L3N","03","P001","","SMT","","","","","","204-214ST"
"27481","9","TP4, TP5, TP16, TP17, TP18, TP20, TP22, TP44, TP45","Testpoint 0.8mm THT","Testpoint 0.8mm TH","","","TP_0.8mm_THT","03","P001","","","","","","","",""
"27514","2","U4, U5","AP2196SG-13","AP2196SG-13","SO8","","SOIC127P600X175-8N","03","P001","","SMT","","","","","","AP2196SG-13"
"27736","2","J2, J12","USB 3.0 Type A Stacked","USB3.0 A Stacked receptacle","","","USB3.0 A Stacked","03","P001","","THT","","","","","","0484060003"
"28262","5","D10, D11, D12, D13, D15","LED Green 19-213/G6C-BM1N2/DT","Chip LED 0603 Briliant Green","1608 (0603)","","LEDC1608X55N_GREEN","03","P001","","SMT","Yes","","","","","19-213/G6C-BM1N2/DT"
"28286","1","U37","MT25QU02GCBB8E12-0SIT","MT25QU02GCBB8E12-0SIT","TFBGA24","","BGA24C100P5X5_800X600X120N","03","P001","","SMT","","","","","","MT25QU02GCBB8E12-0SIT"
"28911","1","U15","AD5592RBCPZ-RL7","AD5592RBCPZ-RL7","QFN16","","QFN50P300X300X80-16N","03","P001","","SMT","","","","","","AD5592RBCPZ-RL7"
"28913","2","U47, U48","LT8607EDC#TRMPBF","LT8607EDC#TRMPBF","DFN8","","SON45P200X200X85-9T23X180N","03","P001","","SMT","","","","","","LT8607EDC#TRMPBF"
"28978","2","J20, J22","CLT-106-02-F-D-A-K","CLT-106-02-F-D-A-K-TR   / REF-222271-01","","","CLT-106-02-F-D-A","03","P001","","SMT","","","","","","CLT-106-02-F-D-A-K-TR"
"29145","1","U30","FT234XD","FT234XD","DFN12","","SON45P300X300X80-13T160X250N","03","P001","","SMT","","","","","","FT234XD"
"29745","6","H1, H2, H6, H7, H8, H9","Steel Spacer M2 5mm SMD","9774050243R","","","9774050243","03","P001","","SMT","","","","","","9774050243R"
"29747","2","J19, J21","SS4-30-3.50-L-D-K-TR","SS4-30-3.50-L-D-K / REF-222269-01","SS4","","SS4-30-3_50-L-D","03","P001","","SMT","","","","","","REF-222269-01"
"30022","2","U2, U33","ADIN1300BCPZ","ADIN1300BCPZ","QFN40","","ADIN1300_PCB","03","P001","","SMT","","","","","","ADIN1300BCPZ"
"31417","5","U16, U21, U44, U58, U59","SN74AXC4T774BQBR","SN74AXC4T774BQBR","WQFN16","","QFN50P350X250X90-17T200X100N","03","P001","Yes","SMT","","","","","","SN74AXC4T774BQBR"
"32679","1","U10","SI5332A-D-GM3","SI5332A-D-GM3, Clock Generator","QFN48","","QFN40P600X600X90-49T360X360N","03","P001","","SMT","","","","","","SI5332A-D-GM3"
"32759","1","U19","MAX31760AEE+T","MAX31760AEE+T","SSOP16","","SOP63P600X175-16L49N","03","P001","Yes","SMT","","","","","3.3 V","MAX31760AEE+T"
"33716","1","U38","USB5734T-I/MR","USB5734T-I/MR","VQFN64","","QFN50P900X900X100-65T600X600N","03","P001","","SMT","","","","","","USB5734T-I/MR"
